商品名,ジャンル,値段（円）,カロリー（kcal）,たんぱく質（g）,脂質（g）,炭水化物（g）,内容量（g）,塩分（g）,添加物,人気度
ガーナ（ミルク）,チョコ系,192,278,3.8,16.6,28.3,50,0.06,"乳化剤（大豆由来）, 香料",71
アルフォート,チョコ系,181,287,4.6,15.7,32.9,55,0.2,"乳化剤（大豆由来）, 膨脹剤, 香料, 酸化防止剤（V.E）",82
小枝（ミルク）,チョコ系,300,319,3.3,18.7,35.2,59,0.099,"乳化剤（大豆由来）, 香料",62
たけのこの里,チョコ系,257,345,4.9,20.5,35.0,63,0.3,"乳化剤, 膨脹剤, 香料",73
きのこの山,チョコ系,257,378,5.6,23.8,35.2,66,0.22,"乳化剤, 膨脹剤, 香料",67
ブラックサンダーひとくちサイズパウチ,チョコ系,213,332,4.3,18.4,37.4,62,0.4,"甘味料（ソルビトール）, 膨脹剤, 乳化剤（大豆由来）, 香料",79
ダース（ミルク）,チョコ系,192,276,3.6,18.0,24.0,47,0.096,"乳化剤（大豆由来）, 香料",66
じゃがチョコ,チョコ系,192,203,2.0,12.7,20.8,37,0.3,"乳化剤（大豆由来）, 香料, 着色料（ウコン）, 酸化防止剤（ビタミンE, ビタミンC）",59
ポテトチップスうすしお味,スナック系,116,308,2.8,19.8,29.7,55,0.5,調味料（アミノ酸等）,76
かっぱえびせん,スナック系,149,380,5.1,17.0,51.6,77,1.7,"膨脹剤, 調味料（アミノ酸等）, 甘味料（甘草）",62
すっぱムーチョチップスさっぱり梅,スナック系,138,310,2.8,19.8,30.1,55,0.8,"調味料（アミノ酸等）, 酸味料, 甘味料（ステビア）, 香料, アントシアニン色素",43
キャラメルコーン,スナック系,138,392,3.3,23.9,41.0,70,0.4,"ソルビトール, カラメル色素, 香料, 調味料（アミノ酸等）, カロチノイド色素",63
堅あげポテトブラックペッパー,スナック系,170,330,3.9,16.9,40.6,65,0.6,"調味料（アミノ酸等）, 香辛料抽出物, 酸味料, 香料, 酸化防止剤（ビタミンC）",69
じゃがりこサラダ,スナック系,149,285,4.2,13.7,36.1,57,0.7,"乳化剤（大豆由来）, 調味料（アミノ酸等）, 酸化防止剤（V.E, V.C, チャ抽出物）, 香料",89
素材がおいしいさつまいも,スナック系,149,197,1.2,10.6,25.2,38,0.01,酸化防止剤（V.C）,48
スコーンやみつきバーベキュー,スナック系,127,413,3.9,25.6,41.6,73,1.1,"調味料（アミノ酸等）, 香料, 酸味料, カラメル色素, アナトー色素, 甘味料（アセスルファムK, カンゾウ）",47
ハイチュウ（グレープ）,キャンディ系,138,228,0.8,4.3,45.6,55,0.0,"酸味料, グリセリン, 香料, 乳化剤, アカキャベツ色素, クチナシ青色素",62
ボンタン飴,キャンディ系,149,215,0.7,0.0,52.9,63,0.0,"香料, アナトー色素, 乳化剤",28
フェットチーネグミ（コーラ）,キャンディ系,116,179,3.3,0.0,41.4,50,0.07,"ソルビトール, 酸味料, 炭酸カルシウム, 着色料（カラメル）, 香料, ビタミンC, ゲル化剤（ペクチン）, 乳化剤",51
ピュレグミ（レモン）,キャンディ系,159,192,2.1,0.0,45.8,56,0.144,"酸味料, 増粘剤（ペクチン）, 炭酸カルシウム, 着色料（ニンジンエキス, パンプキンエキス）, ビタミンC, 香料",64
コロロ（シャインマスカット）,キャンディ系,149,131,0.4,0.0,33.5,48,0.02,"グリセリン, 酸味料, ゲル化剤（増粘多糖類）, クエン酸カリウム, 香料, 光沢剤, 着色料（β-カロテン, クチナシ）, セルロース, 安定剤（CMC）, 乳酸カルシウム",57
果汁グミ（ぶどう）,キャンディ系,159,179,3.3,0.0,41.4,54,0.02,"酸味料, ゲル化剤（ペクチン）, 香料, 光沢剤",62
タフグミ,キャンディ系,246,319,8.6,0.4,73.9,100,0.12,"ソルビトール, 酸味料, ゲル化剤（増粘多糖類）, 香料, 着色料（カラメル色素, 紅花黄, クチナシ, カロチノイド）, 甘味料（スクラロース）, 光沢剤",58
カンデミーナグミ,キャンディ系,213,248,5.9,0.0,56.1,72,0.01,"酸味料, 増粘剤（加工デンプン）, 炭酸カルシウム, 着色料（カラメル, 紫ニンジンジュース, クチナシ）, 香料",42
亀田の柿の種,米菓系,267,816,21.6,25.2,125.4,180,2.28,"調味料（アミノ酸等）, ソルビトール, 着色料（カラメル, パプリカ色素）, 乳化剤, 香辛料抽出物",57
ハッピーターン,米菓系,192,499,4.5,25.1,63.9,96,1.4,"調味料（アミノ酸）, 植物レシチン",66
歌舞伎揚,米菓系,289,693,7.7,39.6,77.0,145,2.2,"調味料（アミノ酸等）, カラメル色素",56
ぱりんこ,米菓系,192,582,5.0,26.7,80.8,118,2.06,"調味料（アミノ酸等）, 貝カルシウム, 植物レシチン, 酸化防止剤（ローズマリー抽出物）",46
ばかうけ（ごま揚）,米菓系,213,540,4.5,31.5,60.0,102,2.1,"調味料（アミノ酸等）, カラメル色素, 香料",47
雪の宿,米菓系,235,655,5.7,21.2,110.5,143,2.07,"調味料（アミノ酸等）, 植物レシチン, 酸化防止剤（ローズマリー抽出物）, 増粘多糖類",58
技のこだ割り,米菓系,300,411,9.1,0.9,91.6,110,3.41,"調味料（アミノ酸等）, 着色料（カラメル）, 乳化剤, ソルビトール",23
亀田のカレーせん,米菓系,203,585,4.5,27.0,82.5,125,1.95,"調味料（アミノ酸等）, 植物レシチン, 香料, 香辛料抽出物, 着色料（アナトー）",26
